"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        Southern Europe:","","","","","8,097","±1,583","","","79,932","±5,708","2,418","±816","29,312","±3,308","","","","","76,843","±5,947","6,164","±1,317","","","","","30,409","±3,606","3,254","±1,712","","","","","825","±471","","","","","11,316","±3,075","75,537","±5,857","12,120","±1,770","2,144","±875","","","3,245","±844","","","","","3,552","±1,234","","","77,311","±4,462","","","129,778","±8,869","13,742","±2,490","","","11,460","±2,214","1,397","±712","2,961","±787","25,149","±3,327","","","5,090","±1,394","","","3,548","±1,219","22,116","±3,502","2,242","±1,297","","","12,381","±2,491","6,257","±1,432","","","2,802","±981","","","",""
"            Greece","","","","","1,825","±826","","","11,379","±2,141","295","±259","2,182","±847","","","","","9,787","±1,973","763","±504","","","","","9,342","±2,108","765","±439","","","","","118","±159","","","","","2,396","±1,017","8,686","±2,091","1,625","±683","363","±354","","","609","±349","","","","","376","±304","","","6,710","±1,761","","","30,519","±4,064","2,825","±979","","","3,977","±1,142","537","±417","291","±231","5,423","±1,263","","","557","±433","","","639","±459","3,170","±1,090","377","±289","","","2,455","±1,097","1,129","±566","","","320","±260","","","",""
"            Italy","","","","","4,090","±1,146","","","29,943","±3,323","1,193","±605","13,567","±2,498","","","","","33,249","±3,385","2,286","±693","","","","","16,540","±2,357","1,105","±638","","","","","437","±383","","","","","4,128","±1,416","15,361","±2,561","7,907","±1,423","722","±365","","","1,667","±748","","","","","1,815","±995","","","34,034","±3,501","","","73,125","±5,039","5,188","±1,572","","","5,811","±1,521","171","±165","1,243","±510","12,516","±1,858","","","2,137","±885","","","1,197","±674","5,915","±1,535","345","±223","","","4,926","±1,807","2,471","±828","","","1,225","±577","","","",""
"            Portugal","","","","","1,003","±651","","","24,584","±3,453","219","±224","11,965","±2,088","","","","","10,084","±2,464","807","±389","","","","","745","±685","49","±84","","","","","0","±206","","","","","886","±567","46,874","±4,607","205","±149","144","±181","","","20","±33","","","","","215","±313","","","26,565","±3,638","","","9,233","±2,276","2,181","±1,103","","","310","±300","0","±165","244","±208","3,479","±1,573","","","809","±438","","","93","±162","1,413","±683","146","±208","","","1,884","±855","877","±528","","","165","±195","","","",""
"                Azores Islands","","","","","334","±329","","","6,934","±2,053","0","±220","684","±491","","","","","474","±283","74","±124","","","","","0","±206","0","±208","","","","","0","±206","","","","","0","±225","9,299","±1,927","0","±184","0","±157","","","20","±33","","","","","0","±232","","","83","±101","","","86","±95","207","±203","","","0","±208","0","±165","31","±53","0","±190","","","166","±199","","","0","±226","95","±125","110","±200","","","120","±113","94","±157","","","0","±159","","","",""
"            Spain","","","","","1,179","±526","","","13,672","±2,343","711","±459","1,548","±771","","","","","23,380","±3,726","2,184","±884","","","","","3,699","±1,167","1,335","±1,438","","","","","270","±215","","","","","3,906","±2,558","4,616","±1,400","1,378","±539","915","±526","","","849","±463","","","","","1,114","±635","","","9,110","±1,991","","","16,248","±3,655","3,548","±1,454","","","1,350","±818","689","±523","1,023","±573","3,455","±1,278","","","1,438","±881","","","1,619","±1,007","11,478","±2,902","1,374","±1,105","","","3,116","±1,203","1,691","±650","","","991","±648","","","",""
"            Other Southern Europe","","","","","0","±232","","","354","±256","0","±220","50","±83","","","","","343","±249","124","±163","","","","","83","±99","0","±208","","","","","0","±206","","","","","0","±225","0","±225","1,005","±489","0","±157","","","100","±168","","","","","32","±53","","","892","±848","","","653","±543","0","±222","","","12","±21","0","±165","160","±217","276","±312","","","149","±248","","","0","±226","140","±205","0","±206","","","0","±216","89","±103","","","101","±173","","","",""
"        Eastern Europe:","","","","","35,344","±5,357","","","287,726","±11,730","28,636","±4,271","51,903","±6,043","","","","","178,248","±10,540","39,957","±5,008","","","","","271,453","±14,880","19,200","±3,439","","","","","11,173","±2,277","","","","","33,730","±4,093","75,520","±6,572","72,886","±6,907","24,025","±2,832","","","29,696","±5,258","","","","","20,126","±3,208","","","145,165","±8,338","","","364,958","±14,385","36,042","±4,982","","","52,346","±5,223","5,492","±1,241","23,453","±3,596","97,475","±10,123","","","22,727","±3,699","","","16,380","±3,196","87,557","±8,107","9,041","±2,035","","","36,430","±4,009","97,157","±8,679","","","19,922","±2,531","","","",""
"            Albania","","","","","1,653","±1,853","","","2,171","±1,290","62","±102","5,384","±2,268","","","","","10,631","±3,004","662","±634","","","","","7,032","±2,163","558","±523","","","","","272","±315","","","","","1,515","±794","13,033","±3,210","11,139","±2,990","410","±531","","","668","±605","","","","","1,463","±1,259","","","5,781","±2,073","","","28,111","±5,419","712","±743","","","2,778","±1,064","72","±124","0","±217","5,296","±1,711","","","376","±285","","","0","±226","2,562","±1,552","718","±1,152","","","1,002","±676","218","±259","","","1,354","±861","","","",""
"            Belarus","","","","","955","±966","","","11,289","±2,197","2,055","±1,410","896","±564","","","","","4,986","±1,411","1,123","±576","","","","","6,313","±2,204","301","±261","","","","","224","±243","","","","","1,023","±459","2,015","±1,106","1,201","±621","1,009","±530","","","658","±503","","","","","45","±78","","","4,477","±1,405","","","16,118","±4,774","390","±432","","","1,459","±962","0","±165","1,027","±629","7,725","±3,235","","","557","±376","","","132","±162","1,582","±956","203","±238","","","862","±564","3,182","±1,443","","","621","±444","","","",""
