"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Vietnam","","","","","20,784","±4,228","","","525,455","±18,897","17,388","±4,003","6,290","±1,726","","","","","59,765","±6,598","47,438","±4,165","","","","","17,035","±3,095","9,103","±1,987","","","","","2,414","±951","","","","","18,594","±3,623","34,829","±4,050","12,272","±2,419","17,822","±3,042","","","12,213","±2,695","","","","","11,175","±3,473","","","21,200","±4,282","","","25,130","±3,119","25,469","±4,356","","","13,307","±2,659","13,906","±2,241","19,910","±3,081","27,128","±3,463","","","6,690","±2,084","","","7,500","±1,541","201,714","±14,221","6,357","±1,721","","","40,895","±4,459","60,280","±6,325","","","3,492","±1,310","","","",""
"            Other South Eastern Asia","","","","","0","±232","","","187","±172","0","±220","0","±222","","","","","52","±89","0","±226","","","","","122","±146","0","±208","","","","","0","±206","","","","","0","±225","0","±225","0","±184","0","±157","","","0","±197","","","","","0","±232","","","135","±227","","","77","±127","0","±222","","","0","±208","0","±165","66","±99","0","±190","","","0","±225","","","85","±118","0","±236","0","±206","","","0","±216","0","±217","","","0","±159","","","",""
"        Western Asia:","","","","","23,730","±4,099","","","312,911","±15,497","7,191","±1,565","10,316","±2,246","","","","","66,395","±7,077","24,349","±4,991","","","","","56,025","±5,933","7,944","±2,140","","","","","5,531","±1,763","","","","","21,216","±3,885","36,899","±5,321","133,006","±9,383","7,615","±2,660","","","6,580","±2,332","","","","","7,996","±1,865","","","53,921","±5,688","","","128,215","±8,481","15,551","±2,692","","","32,807","±6,052","4,832","±1,389","9,338","±3,060","31,066","±4,668","","","4,854","±1,485","","","10,937","±3,008","90,130","±7,955","5,017","±2,056","","","40,299","±5,277","23,307","±5,325","","","6,027","±2,185","","","",""
"            Armenia","","","","","0","±232","","","90,612","±8,118","0","±220","124","±149","","","","","486","±495","204","±201","","","","","646","±620","0","±208","","","","","0","±206","","","","","291","±483","1,217","±571","371","±324","0","±157","","","121","±197","","","","","925","±706","","","648","±521","","","2,434","±1,223","88","±157","","","228","±197","0","±165","352","±467","679","±507","","","565","±620","","","97","±156","455","±456","148","±143","","","857","±701","1,166","±1,020","","","0","±159","","","",""
"            Azerbaijan","","","","","71","±127","","","6,728","±2,418","40","±66","252","±238","","","","","1,195","±668","60","±98","","","","","813","±432","77","±127","","","","","420","±407","","","","","34","±56","780","±526","517","±382","186","±248","","","135","±158","","","","","59","±99","","","1,253","±934","","","4,398","±1,663","241","±221","","","277","±276","0","±165","130","±161","1,376","±805","","","39","±71","","","0","±226","1,664","±863","0","±206","","","1,584","±984","1,409","±894","","","107","±146","","","",""
"            Georgia","","","","","48","±80","","","5,085","±2,154","416","±513","490","±519","","","","","1,223","±925","635","±509","","","","","720","±467","63","±99","","","","","0","±206","","","","","483","±446","694","±518","286","±338","9","±17","","","92","±167","","","","","287","±383","","","3,043","±1,500","","","13,791","±3,312","345","±397","","","643","±738","0","±165","0","±217","1,572","±893","","","188","±315","","","59","±98","175","±175","88","±152","","","807","±971","470","±377","","","111","±155","","","",""
"            Iraq","","","","","10,395","±3,080","","","44,107","±6,479","835","±556","319","±230","","","","","3,545","±1,428","5,366","±2,976","","","","","12,058","±2,263","810","±638","","","","","2,008","±1,205","","","","","2,557","±1,654","3,815","±1,476","54,014","±6,206","2,550","±1,598","","","684","±567","","","","","305","±326","","","690","±559","","","6,894","±2,322","646","±396","","","6,380","±3,067","1,020","±817","3,884","±2,461","3,638","±1,841","","","435","±484","","","1,861","±939","19,627","±4,864","2,509","±1,553","","","6,694","±2,007","7,142","±4,198","","","1,572","±1,578","","","",""
"            Israel","","","","","2,032","±860","","","34,289","±5,451","1,124","±605","1,287","±791","","","","","17,056","±2,702","3,042","±1,526","","","","","5,194","±1,372","423","±391","","","","","209","±246","","","","","2,820","±1,022","4,959","±1,958","1,363","±646","288","±219","","","220","±213","","","","","2,529","±1,235","","","9,329","±1,994","","","27,046","±3,455","1,082","±778","","","1,987","±1,012","147","±153","1,197","±723","2,303","±1,304","","","377","±382","","","1,102","±838","5,762","±2,133","422","±434","","","517","±377","2,876","±1,135","","","198","±157","","","",""
"            Jordan","","","","","2,623","±1,588","","","15,253","±2,771","457","±321","504","±444","","","","","5,018","±1,520","1,103","±618","","","","","10,253","±2,969","1,422","±1,003","","","","","659","±464","","","","","1,969","±1,027","1,098","±693","4,201","±1,329","318","±249","","","1,304","±1,234","","","","","623","±360","","","4,877","±1,612","","","6,156","±1,938","1,668","±838","","","4,900","±1,796","538","±350","580","±500","1,095","±587","","","464","±555","","","1,460","±784","8,366","±2,254","156","±255","","","3,223","±1,825","1,267","±1,006","","","579","±453","","","",""
"            Kuwait","","","","","1,078","±561","","","6,698","±2,477","299","±274","68","±114","","","","","2,618","±1,456","855","±741","","","","","1,519","±764","583","±566","","","","","91","±118","","","","","729","±423","1,071","±847","980","±675","86","±141","","","218","±234","","","","","52","±87","","","1,380","±741","","","1,287","±545","1,662","±1,156","","","1,417","±839","516","±474","412","±420","789","±428","","","380","±484","","","621","±768","5,198","±1,996","178","±221","","","1,998","±1,297","846","±516","","","491","±395","","","",""
"            Lebanon","","","","","2,059","±891","","","33,702","±4,010","1,192","±735","1,565","±891","","","","","8,663","±2,033","1,212","±652","","","","","6,329","±2,822","335","±285","","","","","41","±72","","","","","1,558","±676","10,975","±2,792","25,521","±3,801","433","±522","","","186","±181","","","","","663","±380","","","4,836","±1,624","","","9,117","±2,119","1,560","±856","","","2,946","±910","435","±380","279","±289","2,501","±841","","","628","±715","","","595","±645","13,834","±2,503","79","±91","","","6,379","±1,824","1,940","±1,201","","","588","±489","","","",""
"            Saudi Arabia","","","","","415","±341","","","7,967","±2,335","596","±399","595","±507","","","","","2,695","±1,092","2,528","±1,206","","","","","3,006","±1,311","1,137","±1,221","","","","","369","±414","","","","","2,057","±1,382","1,207","±671","3,255","±1,852","1,000","±1,080","","","718","±687","","","","","85","±138","","","2,192","±920","","","4,419","±2,724","752","±525","","","4,816","±2,273","497","±608","1,114","±793","1,833","±930","","","196","±379","","","1,099","±915","6,918","±2,363","76","±132","","","3,304","±1,953","1,948","±1,023","","","569","±417","","","",""
"            Syria","","","","","2,331","±1,432","","","26,522","±4,678","521","±379","1,504","±909","","","","","10,104","±3,478","1,688","±1,415","","","","","5,950","±1,898","633","±450","","","","","0","±206","","","","","1,588","±1,169","3,138","±1,123","12,864","±6,871","79","±80","","","298","±374","","","","","271","±306","","","6,983","±2,074","","","7,501","±1,962","2,411","±1,931","","","3,789","±1,688","543","±374","418","±409","4,807","±1,664","","","110","±142","","","522","±611","6,390","±1,903","356","±503","","","4,580","±2,223","947","±611","","","96","±102","","","",""
"            Turkey","","","","","2,071","±1,024","","","26,384","±4,105","951","±654","2,085","±779","","","","","10,540","±2,637","6,259","±2,202","","","","","5,609","±1,659","802","±785","","","","","1,333","±942","","","","","4,930","±1,429","6,949","±2,013","1,373","±815","335","±231","","","2,192","±1,696","","","","","1,449","±893","","","16,212","±2,790","","","19,728","±2,920","2,807","±1,187","","","3,235","±1,235","418","±281","521","±363","8,229","±2,934","","","953","±668","","","725","±507","13,154","±3,474","1,005","±981","","","7,168","±1,869","2,618","±861","","","1,059","±905","","","",""
"            United Arab Emirates","","","","","459","±342","","","3,558","±1,437","714","±663","208","±196","","","","","1,381","±707","966","±480","","","","","708","±372","188","±337","","","","","184","±200","","","","","356","±347","250","±253","971","±782","353","±297","","","124","±155","","","","","53","±93","","","1,147","±635","","","1,382","±753","1,003","±644","","","440","±316","432","±302","292","±335","1,263","±750","","","242","±223","","","223","±183","5,986","±2,081","0","±206","","","1,651","±693","159","±152","","","293","±281","","","",""
"            Yemen","","","","","46","±87","","","7,444","±2,530","0","±220","1,223","±1,628","","","","","234","±285","0","±226","","","","","2,297","±1,795","1,247","±914","","","","","0","±206","","","","","1,380","±1,363","38","±64","26,595","±4,587","1,796","±1,306","","","0","±197","","","","","0","±232","","","534","±639","","","19,951","±5,356","1,160","±556","","","1,292","±974","0","±165","117","±146","90","±148","","","41","±79","","","2,456","±1,812","156","±191","0","±206","","","682","±403","199","±261","","","0","±159","","","",""
"            Other Western Asia","","","","","102","±120","","","4,562","±1,750","46","±73","92","±148","","","","","1,637","±971","431","±256","","","","","923","±701","224","±239","","","","","217","±366","","","","","464","±343","708","±450","695","±468","182","±221","","","288","±319","","","","","695","±759","","","797","±391","","","4,111","±1,653","126","±153","","","457","±372","286","±235","42","±70","891","±675","","","236","±271","","","117","±141","2,445","±1,149","0","±206","","","855","±464","320","±247","","","364","±316","","","",""
"        Asia, n.e.c.","","","","","358","±264","","","16,479","±3,235","409","±404","81","±136","","","","","3,695","±1,530","1,652","±895","","","","","6,793","±1,995","1,101","±752","","","","","228","±276","","","","","1,257","±869","768","±527","2,037","±942","675","±586","","","594","±363","","","","","368","±519","","","4,338","±1,635","","","3,964","±1,459","1,110","±679","","","2,248","±1,012","53","±85","72","±117","1,241","±1,019","","","89","±148","","","793","±889","3,012","±1,142","0","±206","","","1,845","±813","1,225","±639","","","515","±493","","","",""
"    Africa:","","","","","54,069","±10,074","","","203,888","±12,170","40,969","±6,038","26,221","±4,207","","","","","97,231","±10,031","144,727","±11,286","","","","","86,716","±8,847","46,071","±7,218","","","","","29,142","±7,026","","","","","203,098","±12,955","114,750","±8,252","48,110","±6,803","141,090","±10,500","","","38,199","±6,779","","","","","20,680","±3,678","","","124,411","±9,687","","","223,031","±14,273","85,394","±10,046","","","99,689","±10,941","11,788","±2,303","14,772","±2,765","98,386","±10,525","","","14,270","±3,598","","","47,979","±9,238","325,090","±21,264","11,594","±2,805","","","131,950","±8,823","79,803","±7,442","","","21,689","±3,727","","","",""
"        Eastern Africa:","","","","","24,202","±6,962","","","51,928","±5,170","17,288","±3,429","2,872","±1,108","","","","","16,653","±4,445","47,472","±7,088","","","","","11,106","±2,739","10,427","±2,426","","","","","9,330","±3,790","","","","","46,179","±6,121","29,627","±4,801","14,869","±3,969","84,447","±8,557","","","18,010","±4,621","","","","","12,430","±3,476","","","12,365","±2,869","","","20,730","±4,268","21,509","±5,873","","","30,813","±5,084","1,925","±1,142","8,584","±2,744","15,839","±3,011","","","6,209","±3,284","","","16,414","±7,345","87,282","±10,003","3,422","±1,557","","","52,478","±5,945","52,620","±5,844","","","8,219","±2,276","","","",""
"            Eritrea","","","","","42","±72","","","6,369","±2,914","1,461","±1,228","154","±244","","","","","697","±542","4,554","±2,698","","","","","412","±509","759","±989","","","","","0","±206","","","","","3,843","±1,569","476","±518","546","±724","2,167","±1,070","","","917","±1,047","","","","","901","±643","","","266","±414","","","569","±596","1,645","±1,233","","","1,609","±1,065","0","±165","306","±434","711","±563","","","46","±79","","","816","±655","9,803","±3,772","0","±206","","","3,131","±1,454","3,516","±1,892","","","0","±159","","","",""
"            Ethiopia","","","","","1,610","±1,006","","","20,271","±3,040","10,631","±2,638","505","±366","","","","","4,428","±2,800","18,788","±4,551","","","","","3,641","±1,815","2,043","±1,052","","","","","1,677","±1,189","","","","","27,926","±4,669","7,702","±2,096","2,663","±1,431","24,318","±4,262","","","3,557","±1,531","","","","","8,430","±2,851","","","2,367","±1,212","","","3,276","±1,346","4,402","±1,690","","","5,913","±2,111","165","±166","4,951","±2,392","4,898","±1,706","","","1,217","±1,774","","","5,278","±4,623","30,334","±6,762","155","±254","","","37,518","±5,440","21,343","±4,225","","","2,124","±932","","","",""
"            Kenya","","","","","5,794","±3,240","","","9,065","±2,389","2,342","±1,839","713","±506","","","","","3,006","±1,101","13,193","±3,188","","","","","2,241","±1,043","2,096","±1,131","","","","","1,118","±719","","","","","4,764","±1,794","9,083","±2,756","2,810","±1,464","18,939","±3,817","","","6,416","±3,080","","","","","930","±639","","","5,776","±1,889","","","5,326","±2,231","4,866","±2,146","","","2,963","±1,150","1,251","±994","1,268","±1,131","5,021","±1,678","","","1,460","±1,551","","","4,030","±2,938","26,049","±5,977","238","±273","","","5,023","±1,976","14,637","±3,520","","","1,605","±1,020","","","",""
"            Somalia","","","","","2,196","±1,098","","","2,676","±1,324","778","±550","0","±222","","","","","53","±86","2,273","±1,891","","","","","347","±570","521","±589","","","","","120","±204","","","","","568","±514","476","±335","241","±314","34,622","±5,531","","","1,409","±1,048","","","","","1,405","±1,637","","","92","±165","","","2,093","±1,035","4,241","±3,905","","","14,462","±3,946","0","±165","621","±697","538","±490","","","0","±225","","","3,512","±3,259","2,575","±1,674","1,220","±995","","","1,736","±878","6,731","±2,599","","","1,648","±1,717","","","",""
"            Tanzania","","","","","1,943","±2,437","","","2,300","±968","144","±202","285","±348","","","","","2,898","±1,508","2,196","±1,292","","","","","1,070","±1,032","1,070","±953","","","","","2,233","±2,192","","","","","1,887","±1,158","1,786","±1,149","2,474","±1,856","350","±333","","","1,078","±1,089","","","","","193","±240","","","1,089","±622","","","2,134","±1,070","811","±540","","","2,383","±1,913","349","±465","0","±217","533","±409","","","515","±563","","","356","±404","3,580","±1,294","231","±372","","","854","±667","2,328","±1,361","","","597","±569","","","",""
"            Uganda","","","","","5,031","±4,608","","","3,881","±1,516","759","±951","228","±222","","","","","1,008","±561","1,301","±1,021","","","","","1,094","±1,260","360","±358","","","","","261","±215","","","","","3,984","±1,572","7,583","±2,969","0","±184","711","±803","","","1,304","±1,273","","","","","0","±232","","","737","±545","","","1,171","±978","2,876","±2,461","","","1,292","±921","0","±165","535","±712","1,260","±640","","","1,339","±934","","","1,010","±1,000","3,968","±1,748","41","±75","","","794","±468","1,505","±883","","","1,553","±1,281","","","",""
"            Zimbabwe","","","","","1,007","±995","","","2,232","±846","123","±144","240","±262","","","","","1,172","±632","886","±603","","","","","561","±530","1,218","±969","","","","","603","±808","","","","","697","±441","893","±598","563","±412","262","±244","","","353","±499","","","","","506","±680","","","236","±265","","","1,817","±976","357","±292","","","524","±381","0","±165","756","±523","716","±449","","","268","±222","","","491","±280","3,993","±1,641","253","±346","","","500","±525","1,097","±845","","","533","±517","","","",""
"            Other Eastern Africa","","","","","6,579","±3,796","","","5,134","±1,561","1,050","±780","747","±576","","","","","3,391","±2,270","4,281","±2,662","","","","","1,740","±1,040","2,360","±1,369","","","","","3,318","±1,996","","","","","2,510","±1,248","1,628","±826","5,572","±2,048","3,078","±2,159","","","2,976","±1,380","","","","","65","±81","","","1,802","±1,077","","","4,344","±1,922","2,311","±1,483","","","1,667","±950","160","±130","147","±191","2,162","±1,302","","","1,364","±1,825","","","921","±642","6,980","±2,696","1,284","±1,112","","","2,922","±2,026","1,463","±877","","","159","±202","","","",""
"        Middle Africa:","","","","","6,301","±2,559","","","7,560","±2,120","2,358","±1,902","1,743","±1,029","","","","","6,328","±3,689","9,426","±3,767","","","","","8,962","±3,029","5,437","±2,673","","","","","7,112","±3,464","","","","","37,688","±6,196","7,289","±2,394","4,305","±1,697","7,521","±3,181","","","4,497","±1,589","","","","","0","±232","","","2,474","±1,458","","","9,283","±3,011","7,081","±3,066","","","8,364","±2,831","804","±693","233","±272","6,704","±3,216","","","364","±295","","","3,197","±1,907","27,856","±6,900","1,252","±1,333","","","3,919","±1,456","3,364","±1,428","","","1,410","±1,126","","","",""
"            Cameroon","","","","","2,312","±1,619","","","4,715","±1,775","1,252","±1,582","125","±205","","","","","1,363","±1,123","2,992","±2,363","","","","","2,634","±1,370","948","±926","","","","","60","±110","","","","","29,233","±5,467","2,283","±1,198","851","±544","5,555","±2,724","","","1,567","±1,088","","","","","0","±232","","","1,132","±1,117","","","1,504","±908","1,233","±1,035","","","2,797","±1,452","717","±678","117","±183","3,535","±2,658","","","245","±193","","","423","±496","11,318","±3,510","577","±853","","","1,758","±788","146","±249","","","160","±201","","","",""
"            Congo","","","","","2,658","±1,674","","","506","±423","613","±897","1,323","±909","","","","","2,543","±2,917","738","±615","","","","","1,798","±1,549","637","±636","","","","","4,063","±3,112","","","","","1,890","±1,393","1,747","±1,039","1,394","±1,011","367","±585","","","1,034","±782","","","","","0","±232","","","32","±53","","","949","±519","334","±305","","","1,133","±834","0","±165","0","±217","677","±545","","","0","±225","","","1,292","±1,345","7,117","±3,708","0","±206","","","367","±367","1,047","±961","","","950","±1,031","","","",""
"            Democratic Republic of Congo (Zaire)","","","","","1,140","±840","","","756","±535","323","±432","259","±410","","","","","537","±577","4,373","±2,510","","","","","3,345","±1,717","3,850","±2,579","","","","","2,986","±1,858","","","","","2,800","±1,395","2,375","±1,619","1,433","±1,013","1,531","±1,696","","","1,896","±1,153","","","","","0","±232","","","443","±627","","","2,451","±1,666","4,360","±2,854","","","3,903","±2,009","0","±165","116","±193","762","±700","","","119","±196","","","1,359","±1,212","7,695","±3,024","559","±560","","","700","±478","1,746","±825","","","54","±95","","","",""
"            Other Middle Africa","","","","","191","±308","","","1,583","±906","170","±286","36","±55","","","","","1,885","±1,981","1,323","±1,184","","","","","1,185","±909","2","±6","","","","","3","±6","","","","","3,765","±2,656","884","±524","627","±690","68","±96","","","0","±197","","","","","0","±232","","","867","±617","","","4,379","±2,576","1,154","±1,116","","","531","±541","87","±128","0","±217","1,730","±1,180","","","0","±225","","","123","±211","1,726","±1,110","116","±151","","","1,094","±980","425","±557","","","246","±300","","","",""
"        Northern Africa:","","","","","5,063","±1,901","","","67,334","±8,404","6,663","±2,389","6,164","±2,086","","","","","32,531","±5,319","8,800","±2,669","","","","","14,752","±3,376","4,172","±1,228","","","","","4,898","±2,190","","","","","11,621","±3,317","19,864","±4,051","11,522","±3,307","5,690","±1,625","","","1,586","±1,252","","","","","2,413","±1,106","","","41,103","±6,109","","","48,557","±6,071","13,336","±3,508","","","15,242","±4,399","1,923","±1,007","1,499","±723","25,047","±4,974","","","2,101","±967","","","14,783","±3,815","31,199","±4,959","2,515","±1,827","","","30,387","±4,225","8,817","±2,561","","","3,275","±1,183","","","",""
"            Algeria","","","","","556","±529","","","5,181","±1,828","1,238","±1,063","767","±441","","","","","1,296","±768","920","±704","","","","","2,455","±802","333","±337","","","","","4","±8","","","","","707","±588","1,195","±907","1,691","±1,631","250","±368","","","0","±197","","","","","296","±255","","","3,777","±2,152","","","3,028","±1,317","463","±434","","","4,622","±3,074","67","±107","111","±193","5,285","±1,983","","","26","±45","","","55","±96","4,242","±2,207","0","±206","","","1,369","±831","103","±167","","","398","±407","","","",""
"            Egypt","","","","","2,054","±1,008","","","41,563","±5,492","461","±380","1,822","±1,186","","","","","16,465","±4,061","3,965","±1,732","","","","","4,684","±2,423","2,642","±1,250","","","","","1,577","±1,562","","","","","4,548","±2,097","6,021","±1,398","4,928","±1,944","1,471","±580","","","641","±383","","","","","783","±628","","","28,324","±4,030","","","28,329","±5,528","5,827","±2,272","","","3,388","±1,291","345","±258","697","±676","10,534","±3,474","","","1,210","±843","","","13,136","±3,614","14,703","±3,620","409","±340","","","12,575","±2,761","3,282","±1,404","","","1,719","±966","","","",""
"            Morocco","","","","","575","±460","","","9,660","±3,195","1,837","±1,235","2,470","±1,384","","","","","10,962","±3,067","2,723","±1,641","","","","","4,242","±1,859","557","±573","","","","","1,570","±1,277","","","","","3,337","±1,607","11,347","±3,738","1,471","±648","1,387","±785","","","181","±175","","","","","1,124","±798","","","5,743","±2,176","","","12,594","±3,447","2,876","±1,310","","","5,339","±3,213","1,338","±906","465","±337","4,513","±2,196","","","563","±389","","","760","±500","5,360","±2,408","255","±200","","","10,489","±2,811","803","±653","","","337","±241","","","",""
"            Sudan","","","","","1,238","±945","","","6,778","±3,932","270","±428","294","±321","","","","","2,137","±1,286","822","±738","","","","","2,051","±1,626","320","±417","","","","","858","±892","","","","","2,189","±1,287","602","±385","2,528","±1,579","2,290","±1,342","","","764","±1,122","","","","","155","±258","","","1,922","±1,686","","","3,156","±1,294","2,503","±1,223","","","692","±443","173","±205","52","±91","3,754","±2,033","","","0","±225","","","616","±608","5,221","±2,294","1,349","±1,198","","","4,538","±1,475","3,796","±1,574","","","795","±863","","","",""
"            Other Northern Africa","","","","","640","±522","","","4,152","±1,499","2,857","±1,716","811","±917","","","","","1,671","±931","370","±334","","","","","1,320","±803","320","±269","","","","","889","±850","","","","","840","±892","699","±456","904","±638","292","±275","","","0","±197","","","","","55","±88","","","1,337","±1,561","","","1,450","±635","1,667","±2,073","","","1,201","±899","0","±165","174","±211","961","±856","","","302","±405","","","216","±353","1,673","±911","502","±631","","","1,416","±906","833","±1,020","","","26","±44","","","",""
"        Southern Africa:","","","","","2,597","±878","","","18,534","±2,686","3,536","±1,259","1,828","±923","","","","","15,825","±3,348","6,921","±2,139","","","","","4,668","±1,926","2,389","±1,286","","","","","930","±490","","","","","4,818","±1,861","2,788","±1,019","1,702","±663","2,341","±984","","","2,003","±1,891","","","","","1,660","±1,192","","","3,384","±772","","","8,963","±2,248","6,767","±1,864","","","1,602","±651","795","±361","1,574","±678","1,999","±716","","","2,070","±1,213","","","1,523","±664","13,612","±2,763","1,116","±517","","","2,766","±980","3,894","±1,717","","","1,991","±1,198","","","",""
"            South Africa","","","","","2,587","±883","","","18,355","±2,685","3,453","±1,248","1,753","±909","","","","","15,668","±3,336","6,613","±2,067","","","","","4,579","±1,923","2,389","±1,286","","","","","881","±481","","","","","4,601","±1,841","2,698","±994","1,532","±619","2,130","±910","","","1,950","±1,881","","","","","1,660","±1,192","","","3,212","±755","","","7,934","±2,158","6,449","±1,881","","","1,602","±651","795","±361","1,574","±678","1,961","±716","","","2,070","±1,213","","","1,523","±664","12,415","±2,517","1,116","±517","","","2,716","±972","3,026","±1,123","","","1,991","±1,198","","","",""
"            Other Southern Africa","","","","","10","±18","","","179","±290","83","±111","75","±144","","","","","157","±194","308","±365","","","","","89","±117","0","±208","","","","","49","±87","","","","","217","±210","90","±139","170","±211","211","±322","","","53","±101","","","","","0","±232","","","172","±322","","","1,029","±611","318","±297","","","0","±208","0","±165","0","±217","38","±63","","","0","±225","","","0","±226","1,197","±1,097","0","±206","","","50","±85","868","±1,293","","","0","±159","","","",""
"        Western Africa:","","","","","8,100","±3,144","","","55,328","±7,274","10,745","±3,845","11,770","±3,335","","","","","21,676","±6,848","69,038","±8,488","","","","","45,493","±7,059","22,677","±5,952","","","","","6,560","±2,633","","","","","98,060","±10,701","53,154","±6,138","14,327","±3,441","39,699","±5,521","","","10,798","±3,215","","","","","2,542","±1,252","","","60,742","±8,414","","","124,764","±11,670","30,398","±5,484","","","38,820","±6,780","5,718","±1,386","2,014","±1,043","45,677","±6,567","","","3,396","±1,193","","","10,216","±2,908","153,697","±13,371","2,242","±1,326","","","40,141","±5,412","9,554","±2,681","","","6,732","±2,368","","","",""
"            Cabo Verde","","","","","0","±232","","","250","±251","0","±220","513","±705","","","","","484","±410","310","±360","","","","","34","±60","0","±208","","","","","0","±206","","","","","166","±172","23,535","±3,844","99","±130","0","±157","","","0","±197","","","","","0","±232","","","0","±225","","","242","±216","71","±130","","","0","±208","0","±165","0","±217","20","±40","","","170","±220","","","0","±226","0","±236","0","±206","","","56","±91","0","±217","","","0","±159","","","",""
"            Ghana","","","","","2,312","±1,886","","","7,814","±1,930","2,802","±1,583","4,384","±2,032","","","","","4,838","±2,970","14,385","±3,427","","","","","11,500","±3,875","884","±518","","","","","957","±722","","","","","15,095","±4,054","11,894","±2,452","2,760","±1,388","5,186","±1,783","","","2,656","±1,499","","","","","847","±540","","","15,717","±3,723","","","45,252","±8,137","7,123","±3,003","","","12,977","±3,351","1,298","±752","0","±217","8,400","±3,369","","","1,017","±724","","","3,875","±1,871","21,361","±6,629","619","±463","","","15,710","±2,955","2,358","±1,308","","","1,832","±1,014","","","",""
"            Ivory Coast","","","","","221","±368","","","1,120","±698","955","±1,430","142","±221","","","","","674","±792","690","±493","","","","","723","±778","828","±685","","","","","0","±206","","","","","1,986","±908","1,127","±1,033","399","±652","417","±464","","","222","±319","","","","","67","±115","","","632","±429","","","4,234","±2,244","568","±661","","","1,103","±966","88","±164","55","±86","839","±722","","","267","±421","","","470","±434","2,281","±1,242","89","±136","","","842","±753","425","±393","","","148","±235","","","",""
"            Liberia","","","","","205","±240","","","1,655","±910","1,329","±1,043","714","±519","","","","","1,450","±875","4,442","±2,002","","","","","328","±460","1,064","±1,334","","","","","827","±861","","","","","6,630","±2,760","2,506","±1,269","1,061","±814","21,346","±4,837","","","309","±371","","","","","140","±227","","","5,711","±2,022","","","3,563","±1,467","4,942","±2,035","","","3,078","±1,432","435","±425","212","±381","14,828","±5,377","","","212","±229","","","155","±182","4,168","±1,649","123","±197","","","3,631","±1,878","1,457","±1,421","","","472","±465","","","",""
"            Nigeria","","","","","5,056","±2,480","","","35,802","±6,806","2,828","±1,544","4,195","±1,588","","","","","12,402","±5,506","38,198","±6,465","","","","","27,199","±6,171","15,963","±5,310","","","","","1,110","±773","","","","","54,092","±7,139","8,933","±2,542","6,520","±2,159","8,092","±1,916","","","4,655","±1,705","","","","","1,085","±843","","","29,705","±6,167","","","32,030","±4,502","5,757","±1,766","","","10,138","±2,615","3,247","±932","1,040","±850","11,195","±2,726","","","1,193","±622","","","3,662","±1,497","113,155","±10,421","1,322","±1,263","","","9,451","±2,758","2,517","±1,106","","","2,260","±1,079","","","",""
